"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
1218.90890205781,6.47246412958579,0.906275583491637,7.14182777014594,9.20979529681084e-13,5.91325244557073e-10,"BLK",640,"BLK"
53.5184963191603,3.66710598121703,0.565608913675447,6.48346568194514,8.96392747154267e-11,2.07363325133973e-08,"SLCO5A1",81796,"SLCO5A1"
540.815512324429,7.80787112479015,1.13316416598772,6.89032653797736,5.56644646262427e-12,2.13568258732466e-09,"PAX5",5079,"PAX5"
5588.65001971394,7.78984044898725,0.914583464961882,8.51736418535831,1.6322559465973e-17,1.71174681119659e-13,"MS4A1",931,"MS4A1"
42.0305936127032,6.40499440344728,0.870397756275748,7.35869820121427,1.85712361710042e-13,2.08667736134273e-10,"ACY3",91703,"ACY3"
607.57825101657,2.09639854188946,0.305245285639422,6.86791456090128,6.51472167787549e-12,2.38325184543768e-09,"RBP5",83758,"RBP5"
36.4857776411842,2.85373210887834,0.476685992442343,5.98660785951983,2.14262521004139e-09,2.62292341373978e-07,"RP11-599J14.2",NA,"RP11-599J14.2"
333.493492001123,6.89486651028345,0.935220034315075,7.37245381546283,1.6751563648841e-13,1.95192942205995e-10,"RP11-693J15.5",100507616,"RP11-693J15.5"
411.773745845798,8.51386643983817,1.24516492040985,6.83754119657963,8.05639253553146e-12,2.88025188136767e-09,"TCL1A",8115,"TCL1A"
423.142061589133,6.85520098009859,0.927264445311971,7.39292983221438,1.43628280959504e-13,1.73795744125652e-10,"FAM30A",9834,"FAM30A"
1254.40396367592,7.57435582040683,0.943089589458613,8.03142766611912,9.63448713747597e-16,3.78888249790164e-12,"CD19",930,"CD19"
70.8449775155433,5.03703628495296,0.751183710910284,6.70546527007232,2.00765639191708e-11,5.74207979510029e-09,"AC009133.17",NA,"AC009133.17"
293.269374587637,4.04611665224578,0.534315366067382,7.57252534589382,3.66037769564733e-14,5.75795713413803e-11,"ADGRG5",221188,"ADGRG5"
1165.59099602704,5.87978676374081,0.809081865136345,7.26723341246804,3.66924491604751e-13,3.03784511325712e-10,"P2RX5",5026,"P2RX5"
444.150913813655,7.55859784793033,0.992654350317025,7.61453152904264,2.64649576990544e-14,4.40942911674529e-11,"TBC1D27",NA,"TBC1D27"
360.611878870698,7.68847237132114,0.877514635474119,8.76164574413859,1.92420174012819e-18,6.05373109461729e-14,"FCER2",2208,"FCER2"
106.979632868844,7.07808574971828,1.17431597881516,6.02741159739632,1.66606325676189e-09,2.14819738200762e-07,"CLEC17A",388512,"CLEC17A"
887.709114020272,6.76885226374847,0.817215169761285,8.28282747825852,1.20284617729441e-16,9.46068589596487e-13,"FAM129C",199786,"FAM129C"
419.213669102643,6.30386492872043,0.862532261729983,7.308555527044,2.70029357189253e-13,2.50296631993255e-10,"SPIB",6689,"SPIB"
